Estacao,Data,Precipitacao,Umidade,Insolacao,Nebulosidade,TempMaxima,TempMinima,DiaMes,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,condicao1,condicao2,condicao3,condicao4,condicao5,condicao6,DataEnergia,Energia
83936,29/6/2017,0,79.5,5.1,6,28,15,296,17,17,20,22,25,27,3,3,5,0,0,8,29.06.2017,7.99
83936,30/6/2017,6.9,93.75,2, 8.66667,21,10.8,306,12,12,13,13,15,13,3,10,10,7,7,7,30.06.2017,2.67
83936,1/7/2017,0,89,7,1,16,6.6,17,8,12,12,13,15,16,4,8,8,5,0,0,01.07.2017,7.84
83936,2/7/2017,0,85.5,7.4, 3.33333,16.4,6.6,27,7,12,12,15,15,16,3,6,0,0,0,0,02.07.2017,8.27
83936,3/7/2017,0,87.25,8.3, 1.33333,18.8,6.2,37,7,11,12,16,17,17,5,0,0,0,0,0,03.07.2017,9.3
83936,4/7/2017,0,79.5,7.8,4,21.8,8.6,47,12,15,17,21,21,21,0,0,0,0,0,0,04.07.2017,9.13
83936,5/7/2017,0,67.25,9.1, 1.33333,24.8,10.6,57,17,18,20,21,22,23,0,0,0,0,0,0,05.07.2017,9.16
83936,6/7/2017,0,75.5,9,4,25.2,14.6,67,17,21,22,22,23,23,0,0,0,0,0,0,06.07.2017,8.56
83936,7/7/2017,0,75,8.7,10,25.2,10.2,77,18,22,23,23,25,23,0,0,0,0,0,0,07.07.2017,8.72
83936,8/7/2017,0,70.75,8.8, 3.33333,27.2,12.8,87,18,20,22,22,25,26,0,0,0,0,0,0,08.07.2017,8.81
83936,9/7/2017,0.5,76.5,2, 6.33333,25.2,16.6,97,20,21,22,25,25,23,5,5,0,0,0,0,09.07.2017,5.17
83936,10/7/2017,0.5,83,8.7, 6.33333,27.4,14.4,107,16,18,22,22,23,26,2,0,0,0,0,0,10.07.2017,8.04
83936,11/7/2017,8,97.5,0.8, 6.33333,20.6,15.4,117,18,20,20,20,18,18,0,0,8,8,14,14,11.07.2017,2.69
83936,12/7/2017,0,92,6.3, 6.66667,23.4,16,127,16,17,17,18,21,22,3,7,8,8,0,0,12.07.2017,6.05
83936,13/7/2017,0,70.25,9.2, 0.666667,28,15.8,137,21,22,23,25,27,27,0,0,0,0,0,0,13.07.2017,9.49
83936,14/7/2017,0,57.5,7.9, 5.33333,27.6,15.4,147,22,23,25,26,26,27,8,8,8,0,0,0,14.07.2017,7.09
83936,15/7/2017,0,40.5,8.3, 9.33333,28.8,21.8,157,22,23,25,27,27,28,1,1,1,1,0,1,15.07.2017,8.6
83936,16/7/2017,0,93.75,0, 7.33333,26.4,7,167,12,12,12,11,8,7,8,8,10,14,10,14,16.07.2017,0.14
83936,17/7/2017,5.6,71.25,5.4, 7.33333,10.8,5.4,177,6,7,7,7,8,10,8,8,8,8,8,8,17.07.2017,5.66
83936,18/7/2017,0,73.5,9.2,0,12.6,-0.2,187,7,7,8,11,11,12,0,0,0,0,0,0,18.07.2017,7.79
83936,19/7/2017,0,83.5,8.7,0,17.2,-1.2,197,7,10,12,13,13,16,0,0,0,0,0,0,19.07.2017,10.94
83936,20/7/2017,0,83.5,9,0,20.8,0.8,207,8,13,16,18,20,21,0,0,0,0,0,0,20.07.2017,10.8
83936,21/7/2017,0,79,9.2,0,21.2,4.8,217,15,17,20,20,20,18,0,0,0,0,0,0,21.07.2017,10.57
83936,22/7/2017,0,83,9.2, 6.66667,20.6,4.2,227,12,17,20,20,18,16,0,0,0,0,0,0,22.07.2017,10.53
83936,23/7/2017,0,54,9.2, 3.33333,28.4,6.8,237,11,12,17,20,22,25,0,0,0,0,0,0,23.07.2017,10.11
83936,24/7/2017,0.1,58.25,2.8,4,28.4,15.2,247,26,37,27,27,27,27,6,9,8,8,8,8,24.07.2017,3.37
83936,25/7/2017,0,69,5.4, 7.66667,28.6,17.2,257,21,23,25,27,27,27,8,0,0,0,0,0,25.07.2017,6.81
83936,26/7/2017,0,85.75,7.2, 6.66667,27.6,14.2,267,15,18,22,27,26,25,3,0,0,0,0,0,26.07.2017,10
83936,27/7/2017,0,86.75,7.1, 3.33333,26.2,11,277,13,20,22,25,26,26,3,0,0,0,0,0,27.07.2017,9.81
83936,28/7/2017,0,68.75,9.5,0,27.8,12.2,287,17,20,22,23,26,27,0,0,0,0,0,0,28.07.2017,10.42
83936,29/7/2017,0,62.5,9.4,0,29.4,16.2,297,18,21,23,25,27,27,0,0,0,0,0,0,29.07.2017,10.57
83936,30/7/2017,0,68.25,8.7, 2.33333,29.8,15,307,21,22,25,27,27,28,0,0,0,0,0,0,30.07.2017,9.73
83936,31/7/2017,0,68.25,7.3,6,29,13.4,317,22,23,27,27,27,22,0,0,0,0,0,0,31.07.2017,8.51
83936,1/8/2017,0,70.75,8.7, 1.66667,30.2,11.2,18,22,26,27,28,30,30,0,0,0,0,0,0,01.08.2017,9.57
83936,2/8/2017,30.5,95,0, 9.33333,19.8,15.2,28,17,17,17,17,17,16,7,7,7,14,14,14,02.08.2017,0.76
83936,3/8/2017,0,89.25,1.9, 9.66667,18.2,11.4,38,12,13,15,16,17,17,8,8,8,8,8,8,03.08.2017,4.58
83936,4/8/2017,0,87,8.2, 3.33333,18.4,7.4,48,10,11,13,16,17,17,3,8,0,5,8,5,04.08.2017,11.96
83936,5/8/2017,0,79,8.9,2,20.8,9.2,58,13,17,18,20,21,20,0,0,0,0,0,0,05.08.2017,11.55
83936,6/8/2017,0,72.75,9.9,0,24.2,10.2,68,16,17,18,21,22,22,0,0,0,0,0,0,06.08.2017,11.97
83936,7/8/2017,0,74.75,9.4,2,26.8,8.8,78,13,17,20,22,23,25,0,0,0,0,0,0,07.08.2017,11.16
83936,8/8/2017,20.4,86.25,1.9, 8.33333,24.6,15,88,16,17,18,20,21,21,8,8,8,8,5,8,08.08.2017,3.25
83936,9/8/2017,2.6,86,2.2,6,16.6,9.2,98,12,12,12,16,16,16,8,8,8,8,8,8,09.08.2017,5.91
83936,10/8/2017,0,86,6.2, 4.33333,20,11.2,108,16,17,18,20,20,20,0,0,0,0,0,0,10.08.2017,9.92
83936,11/8/2017,13.7,92.25,0,10,18.4,15.2,118,16,17,17,17,17,17,15,17,8,5,0,0,11.08.2017,2.66
83936,12/8/2017,11.3,98,0,10,22,15.6,128,16,16,16,16,16,16,20,20,20,20,20,22,12.08.2017,0.02
83936,13/8/2017,118.7,98.5,0,10,17,13.4,138,17,16,16,16,15,15,14,14,14,14,14,14,13.08.2017,1.15
83936,14/8/2017,22.2,85.5,8.5, 5.33333,20.6,10.6,148,13,13,16,17,17,18,8,8,8,5,5,0,14.08.2017,12.28
83936,15/8/2017,0,88.75,8.1, 3.33333,19.8,6.8,158,10,10,12,17,18,20,3,3,3,0,0,0,15.08.2017,13.45
83936,16/8/2017,0.3,89.25,6.6, 4.66667,21,10,168,12,13,15,18,18,20,3,3,8,5,0,0,16.08.2017,9.72
83936,17/8/2017,0,89.75,6.3, 3.66667,21,7.4,178,11,12,15,17,18,21,3,3,5,0,0,0,17.08.2017,9.82
83936,18/8/2017,0.1,86.75,7.4, 3.33333,26,8.8,188,12,13,18,22,23,25,3,3,0,0,0,0,18.08.2017,12.55
