Precipitacao,Umidade,Nebulosidade,TempMaxima,TempMinima,DiaMes,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Energia
18.2,95, 9.66667,24.4,15,59,17,17,17,17,17,17,1.36
9.6,87.5,10,20.8,14.6,69,16,17,17,17,20,20,6.57
0,75,8,33.2,16.8,79,18,22,26,30,32,33,12.01
0,79,8,26.8,16.8,89,21,22,25,26,27,27,9.9
0,92,10,23.8,18.2,99,20,22,22,22,23,22,5.1
0.2,32,10,35.4,20.8,109,30,32,36,36,35,32,10.72
9.4,84.25, 6.66667,33.4,14,119,15,15,17,18,20,22,11.12
1.5,83.25,10,17.8,12.2,129,13,13,16,16,17,17,5.46
0.5,88,10,24.6,14.6,139,18,21,22,22,23,25,7.49
0,96.5,10,20.8,16.8,149,18,18,17,17,17,17,0.19
32.3,88.75,10,18.2,13.6,159,16,17,17,17,17,17,5.07
8.4,86.75,10,19.4,13.4,169,13,15,15,15,16,16,2.01
11.2,84.25, 9.33333,21.6,13.4,179,17,17,18,20,21,22,6.97
0,85.25,5,22,12.2,189,15,17,17,18,20,21,15.82
0,86.25, 3.33333,24,14.8,199,17,20,21,22,22,23,14.02
0,86.75, 3.33333,30.4,17.4,209,17,18,22,25,27,28,12.53
0,62,0,35,18.2,219,27,28,31,35,35,35,14.84
0,92.75, 6.66667,24.6,18,229,18,18,18,20,20,21,2.29
7.1,90.75,9,23,16.4,239,17,17,17,18,18,20,6.02
0,83.25,7,23,15.4,249,16,17,20,21,22,22,8.03
0,87, 3.33333,28,15.8,259,18,22,23,25,27,27,11.55
1.8,79.75, 6.33333,30,18,269,22,22,25,27,28,28,13.57
6.8,87,10,25.4,17.6,279,17,20,21,22,23,23,6.79
4.6,76.75,10,20.6,16.8,289,17,18,18,20,18,20,6.51
0.8,97.25,10,17.4,14.8,299,15,15,16,15,16,15,2.03
19.1,87.75,9,25,15.2,309,17,18,20,22,22,23,10.9
0.1,71.75, 6.66667,30.6,15.6,110,16,16,20,22,25,27,10.89
24.9,68.25, 9.33333,20.4,15.4,210,16,16,17,18,18,20,10.25
0,50.25,1,24.4,8.8,310,17,18,21,21,22,22,18.59
0,45.5, 6.33333,29.2,14.8,410,22,25,27,27,30,30,15.81
0,54.75, 8.66667,32.8,19.6,510,26,27,32,32,32,32,14.35
0.6,74.5,10,26.6,19.2,610,22,22,25,26,26,25,5.33
0,64.5, 7.33333,23.8,13.8,710,17,20,21,22,22,23,17.39
0,73.75,8,26.6,15.2,810,21,22,23,25,26,26,16.34
0.6,87,9,27.6,16.8,910,20,22,23,23,25,27,9.01
0,88.25,8,24.2,16.8,1010,18,21,21,22,22,22,5.89
25.2,96.5,10,17.2,15.2,1110,15,16,16,16,17,17,1.36
42.6,97.5,10,20.2,16.8,1210,17,18,17,17,18,20,2.47
26,98,10,19.4,16.6,1310,17,17,17,17,17,17,1.48
7.1,91,10,21,13.2,1410,15,17,17,17,18,20,7.35
0.3,73.5, 4.66667,23,10.6,1510,13,17,20,22,22,22,18.74
0,73, 5.66667,26.2,12.8,1610,16,18,20,23,23,26,15.9
0,68.5,7,32.8,19.2,1710,22,25,27,28,31,32,14.41
58.6,85.75,10,27.4,20.2,1810,22,22,21,22,22,25,6.68
0,79, 8.33333,24.2,17.4,1910,18,21,21,22,22,22,0
0,78.75,4,25.6,15.2,2010,18,20,22,22,23,25,0
5.4,89.75, 6.66667,24.6,19.2,2110,18,18,20,21,22,22,4.06
5.8,71.5, 6.33333,21,11.2,2210,13,13,16,17,17,18,19.61
0,65, 1.66667,21.4,7.2,2310,12,16,17,17,18,20,20.06
0,72.75, 5.66667,26.4,10.4,2410,17,20,21,22,25,25,18.65
5.7,79.75,6,25.4,16.8,2510,20,20,22,22,25,25,10.79
0,83.25, 8.33333,25.8,14.6,2610,18,21,22,23,25,25,12.35
7,82.25,9,26.8,18.4,2710,23,25,26,27,26,22,11.37
31.8,90.75, 7.33333,23.2,15.2,2810,15,15,16,17,17,17,7.84
1.5,77.75, 6.33333,24.8,16.8,2910,18,20,22,23,25,25,15.64
0,74.25, 9.33333,27.4,16.8,3010,20,22,22,26,26,27,12.67
0,59.25, 2.66667,24.2,17.4,3110,17,20,21,21,22,23,20.35
0,51.5,0,26.8,12,111,21,25,26,27,27,27,19.92
0,61.25, 1.33333,31.6,14.2,211,17,20,22,25,27,28,19.25
16.4,82,10,25.6,17.2,311,18,21,22,22,25,25,6.79
18.6,82.25, 9.33333,23.4,18.2,411,18,20,20,20,21,22,9.61
0.2,70,3,23.8,13.6,511,17,20,22,22,22,23,19.98
0,63.75,0,25.8,13,611,16,18,21,22,22,23,19.8
0,69,4,28.2,14.8,711,17,20,22,25,26,27,18.47
2.5,85, 7.33333,25.4,18.4,811,20,21,22,22,23,23,12.04
0,78.25, 5.33333,30,18.8,911,18,22,23,25,27,27,15.3
0.5,78.5, 6.66667,27.2,17.6,1011,17,18,20,21,22,23,10.15
0,49.25,0,28.6,13.8,1111,22,25,26,27,27,27,20.19
0,61.75,0,27.4,11.4,1211,18,18,20,22,22,23,21.09
0,58,0,30,11.6,1311,22,23,26,27,27,28,20.26
0,48.25, 0.666667,33.6,14.2,1411,20,27,31,31,32,32,19.86
0,40.5,0,36.6,18,1511,27,27,31,32,35,36,19.45
18.8,88, 6.33333,29.6,16.8,1611,25,26,23,22,17,17,5.13
0,81.75, 9.33333,25.6,16,1711,17,17,18,20,22,23,11.93
0,62, 8.66667,26,18,1811,25,23,25,26,26,26,19.02
0,60,0,27,9,1911,16,21,22,22,25,26,20.9
0,52.5,0,29.8,13.2,2011,18,21,23,26,27,28,20.44
0,71.25,6,25.8,16.8,2111,20,20,22,22,23,25,10.44
0,58.75, 3.33333,24.2,9.6,2211,16,17,18,21,22,23,21.38
0,54.25,0,31.6,9.2,2311,22,25,27,28,30,31,13.56
0,51.5, 0.333333,33.6,13.2,2411,22,27,28,31,31,32,19.62
0,91.25, 6.66667,24,14.8,2511,17,17,17,17,16,15,1.84
13,86, 9.33333,25.6,14.8,2611,17,17,18,20,21,22,12.63
0,66,0,30,13.4,2711,20,22,25,26,27,27,20.61
0,69.25, 2.66667,28.8,17,2811,20,22,25,27,27,28,19.37
0,67, 2.66667,28.6,17.6,2911,22,25,26,27,27,27,20.3
0,70.5, 8.33333,27.8,18.4,3011,20,22,23,25,26,27,17.87
0,64.75, 0.666667,30.2,17.2,112,21,22,23,26,27,27,19.79
0,74.75, 3.66667,32.2,18.4,212,22,23,26,27,28,31,14.48
2.3,85.25, 9.33333,29.4,21.2,312,26,27,28,27,27,25,10.45
17.8,83.75, 9.33333,23.8,20.8,412,21,21,21,21,22,22,5.15
1,82,9,25.8,18.4,512,18,18,20,22,25,25,11.85
0,78.5,7,32,19.8,612,23,27,27,28,31,31,17.73
0,66.25, 3.66667,33.2,23.2,712,26,27,28,30,30,31,17.73
0,61.5,1,31.8,19.4,812,27,30,30,31,32,32,20.19
0,60.5,0,33.4,17.2,912,18,22,26,27,31,32,19.85
0,42.25,1,34.2,18.8,1012,25,32,32,32,33,32,19.09
0,50.5,0,27.6,16.4,1112,23,23,25,25,27,27,21.16
0,57,0,30,14.2,1212,16,18,22,22,25,27,21.12
0,56.75, 3.66667,36,17,1312,22,27,30,32,33,35,17.52
0,62.25, 7.33333,32.6,22,1412,31,32,32,28,28,27,7.45
0,63.5, 0.666667,33.8,17.6,1512,28,30,31,32,32,33,19.43
0,59.5, 0.666667,38,19.8,1612,23,27,31,33,36,37,19.18
8.6,74.25, 7.66667,34,20.6,1712,33,33,21,21,23,27,8.38
0,69.75, 4.33333,24.8,18,1812,21,22,23,25,25,22,17.37
0,76.25, 5.33333,28.2,15.8,1912,21,22,25,26,27,27,17.52
0,81.75, 7.66667,28.6,21,2012,22,25,27,27,26,27,8.45
0,67, 3.66667,32.4,19.8,2112,25,27,27,31,31,31,17.84
5.7,87.5, 5.66667,30.8,21.4,2212,25,27,30,28,28,28,11.32
33.5,91,8,30.6,21.8,2312,28,30,30,30,23,23,8.59
0,72,9,27.8,19.6,2412,21,22,22,23,25,27,14.93
0,70.75, 0.666667,26.6,15.2,2512,17,21,22,23,25,26,21.37
0,67.5,0,31.8,15,2612,18,21,23,26,27,30,19.75
0,75.75, 4.66667,34,20.6,2712,27,28,31,31,32,32,18.03
0,75.5, 4.33333,31.2,21.4,2812,27,28,28,30,30,30,16.61
0,82.25,10,29.6,22.2,2912,22,25,26,27,28,28,13.52
15,76.5,4,31.2,21.2,3012,28,31,31,31,30,28,19.82
0,75.25, 2.33333,33.6,20.4,3112,22,23,27,28,30,31,19.89
0,81.75, 8.33333,28.4,21.6,11,25,25,26,27,27,27,9.76
6.2,77.75, 9.33333,30,22.4,21,22,23,25,26,27,27,12.81
0,63.75, 3.66667,31.8,18,31,22,25,27,28,30,30,19.53
0,55.5, 0.666667,34,15.8,41,25,27,30,31,32,33,19.72
0,53.75,6,35.6,18.8,51,27,30,32,32,33,35,19.29
1,75.25,6,27.6,20.8,61,20,21,21,22,22,22,10.8
0.4,64.75,1,28,14.2,71,21,23,25,26,27,27,21.39
